Query,Similar_Show,Similarity_Score
Curious George (2006),George of the Jungle,0.13423458323738596
Curious George (2006),George and Martha,0.12160881065062559
Curious George (2006),Attack of the Killer Tomatoes,0.11176312110023531
Curious George (2006),The Cat in the Hat Knows a Lot About That!,0.09768339856613621
Curious George (2006),Fantastic Voyage,0.08077632840241897
Curious George (2006),Back at the Barnyard,0.07570930798451737
Curious George (2006),Dogs in Space,0.07101791270952676
Curious George (2006),"Ada Twist, Scientist",0.0686829742200672
Curious George (2006),Bozo: The World's Most Famous Clown,0.06532561826525461
Curious George (2006),Beetlejuice,0.0640163787860841
Barbie: Life in the Dreamhouse,Barbie Dreamhouse Adventures,0.40530568513350806
Barbie: Life in the Dreamhouse,Barbie: It Takes Two,0.3417030882660144
Barbie: Life in the Dreamhouse,Apollo Gauntlet,0.12659950791897534
Barbie: Life in the Dreamhouse,BraveStarr,0.11408610613919667
Barbie: Life in the Dreamhouse,Dinozaurs,0.11269472186711396
Barbie: Life in the Dreamhouse,Extreme Dinosaurs,0.10201955784111236
Barbie: Life in the Dreamhouse,The Adventures of Puss in Boots,0.09877315346033516
Barbie: Life in the Dreamhouse,Dick Figures,0.09427343658004647
Barbie: Life in the Dreamhouse,The Creature Cases,0.09269905050387388
Barbie: Life in the Dreamhouse,Cita's World,0.09074921312952738
WordWorld,The Cat in the Hat Knows a Lot About That!,0.1305232616902061
WordWorld,Daniel Tiger's Neighborhood,0.1058885851170488
WordWorld,Fox's Peter Pan & the Pirates,0.10321866127886078
WordWorld,Britannica's Tales Around the World,0.10097989740768701
WordWorld,Blaster's Universe,0.09354655394806301
WordWorld,Gary and His Demons,0.08717644026627003
WordWorld,The Adventures of Don Coyote and Sancho Panda,0.08545405350495539
WordWorld,Auto-B-Good,0.08002072368574617
WordWorld,Alma's Way,0.07873034346683747
WordWorld,Betsy's Kindergarten Adventures,0.07849541394809566
The Flintstones,The Flintstone Comedy Hour,0.26167259779001234
The Flintstones,Fred and Barney Meet the Thing,0.22907733559532995
The Flintstones,Fred and Barney Meet the Shmoo,0.173767274679713
The Flintstones,Baby Blues,0.1734886720675466
The Flintstones,The Flintstone Kids,0.16697157465021512
The Flintstones,Dino Babies,0.16452481911013417
The Flintstones,The Boss Baby: Back in Business,0.15406237441802254
The Flintstones,Big Baby,0.1485466899385346
The Flintstones,Fred Flintstone and Friends,0.13620738527957857
The Flintstones,The Flintstone Comedy Show,0.13579212036183835
Fancy Nancy,Duck & Goose,0.19458149851710144
Fancy Nancy,Generation Jets,0.1366274600386235
Fancy Nancy,Big City Greens,0.12068150592902593
Fancy Nancy,"Ada Twist, Scientist",0.11077159415478961
Fancy Nancy,3-2-1 Penguins!,0.10619729864731356
Fancy Nancy,The Cat in the Hat Knows a Lot About That!,0.0804570770326708
Fancy Nancy,Doc McStuffins,0.07735957072230114
Fancy Nancy,George and Martha,0.07687635766008566
Fancy Nancy,The All-New Super Friends Hour,0.07675299718755031
Fancy Nancy,Big Guy and Rusty the Boy Robot,0.07534821063027886
